frame,AID,AgentCount
0,Grass,80
0,Predator,10
0,Prey,100
1,Grass,80
1,Predator,10
1,Prey,96
2,Grass,80
2,Predator,10
2,Prey,96
3,Grass,80
3,Predator,10
3,Prey,96
4,Grass,80
4,Predator,10
4,Prey,96
5,Grass,80
5,Predator,10
5,Prey,97
6,Grass,80
6,Predator,10
6,Prey,97
7,Grass,80
7,Predator,10
7,Prey,97
8,Grass,80
8,Predator,10
8,Prey,97
9,Grass,80
9,Predator,10
9,Prey,97
10,Grass,80
10,Predator,10
10,Prey,97
11,Grass,80
11,Predator,10
11,Prey,97
12,Grass,80
12,Predator,10
12,Prey,98
13,Grass,80
13,Predator,10
13,Prey,98
14,Grass,80
14,Predator,10
14,Prey,99
15,Grass,80
15,Predator,10
15,Prey,98
16,Grass,80
16,Predator,10
16,Prey,98
17,Grass,80
17,Predator,10
17,Prey,98
18,Grass,80
18,Predator,10
18,Prey,98
19,Grass,80
19,Predator,10
19,Prey,99
20,Grass,80
20,Predator,10
20,Prey,99
21,Grass,80
21,Predator,10
21,Prey,101
22,Grass,80
22,Predator,10
22,Prey,101
23,Grass,80
23,Predator,10
23,Prey,101
24,Grass,80
24,Predator,10
24,Prey,101
25,Grass,80
25,Predator,10
25,Prey,103
26,Grass,80
26,Predator,10
26,Prey,101
27,Grass,80
27,Predator,10
27,Prey,101
28,Grass,80
28,Predator,10
28,Prey,101
29,Grass,80
29,Predator,10
29,Prey,101
30,Grass,80
30,Predator,10
30,Prey,101
31,Grass,80
31,Predator,10
31,Prey,101
32,Grass,80
32,Predator,10
32,Prey,101
33,Grass,80
33,Predator,10
33,Prey,101
34,Grass,80
34,Predator,10
34,Prey,101
35,Grass,80
35,Predator,10
35,Prey,100
36,Grass,80
36,Predator,10
36,Prey,101
37,Grass,80
37,Predator,10
37,Prey,102
38,Grass,80
38,Predator,10
38,Prey,102
39,Grass,80
39,Predator,10
39,Prey,102
40,Grass,80
40,Predator,10
40,Prey,102
41,Grass,80
41,Predator,10
41,Prey,102
42,Grass,80
42,Predator,10
42,Prey,102
43,Grass,80
43,Predator,10
43,Prey,103
44,Grass,80
44,Predator,10
44,Prey,103
45,Grass,80
45,Predator,10
45,Prey,102
46,Grass,80
46,Predator,10
46,Prey,102
47,Grass,80
47,Predator,10
47,Prey,104
48,Grass,80
48,Predator,10
48,Prey,105
49,Grass,80
49,Predator,10
49,Prey,105
50,Grass,80
50,Predator,10
50,Prey,106
51,Grass,80
51,Predator,10
51,Prey,105
52,Grass,80
52,Predator,10
52,Prey,105
53,Grass,80
53,Predator,10
53,Prey,106
54,Grass,80
54,Predator,10
54,Prey,106
55,Grass,80
55,Predator,10
55,Prey,106
56,Grass,80
56,Predator,10
56,Prey,106
57,Grass,80
57,Predator,10
57,Prey,106
58,Grass,80
58,Predator,10
58,Prey,106
59,Grass,80
59,Predator,10
59,Prey,107
60,Grass,80
60,Predator,10
60,Prey,108
61,Grass,80
61,Predator,10
61,Prey,107
62,Grass,80
62,Predator,10
62,Prey,107
63,Grass,80
63,Predator,10
63,Prey,107
64,Grass,80
64,Predator,10
64,Prey,107
65,Grass,80
65,Predator,10
65,Prey,107
66,Grass,80
66,Predator,10
66,Prey,107
67,Grass,80
67,Predator,10
67,Prey,108
68,Grass,80
68,Predator,10
68,Prey,110
69,Grass,80
69,Predator,10
69,Prey,109
70,Grass,80
70,Predator,10
70,Prey,109
71,Grass,80
71,Predator,10
71,Prey,109
72,Grass,80
72,Predator,10
72,Prey,109
73,Grass,80
73,Predator,10
73,Prey,109
74,Grass,80
74,Predator,10
74,Prey,109
75,Grass,80
75,Predator,10
75,Prey,109
76,Grass,80
76,Predator,10
76,Prey,109
77,Grass,80
77,Predator,10
77,Prey,109
78,Grass,80
78,Predator,10
78,Prey,108
79,Grass,80
79,Predator,10
79,Prey,107
80,Grass,80
80,Predator,10
80,Prey,107
81,Grass,80
81,Predator,10
